"filename" "tajima_d" "missing_data" "missing_type" "vcf_source" "max_pi_vcftools"
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_9000.vcf.Tajima.D" -1.59543 0.1 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_9000.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_9100.vcf.Tajima.D" -1.5909 0.09 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_9100.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_9200.vcf.Tajima.D" -1.62324 0.08 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_9200.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_9300.vcf.Tajima.D" -1.60731 0.07 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_9300.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_9400.vcf.Tajima.D" -1.58439 0.06 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_9400.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_9500.vcf.Tajima.D" -1.58496 0.05 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_9500.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_9600.vcf.Tajima.D" -1.58695 0.04 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_9600.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_9700.vcf.Tajima.D" -1.57956 0.03 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_9700.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_9800.vcf.Tajima.D" -1.60223 0.02 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_9800.vcf" NA
"data/missing_sites/pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_9900.vcf.Tajima.D" -1.59593 0.01 "sites" "pi_sim_Ne=1.0e+06_mu=1e-08_samples=100_sites=10000_0_invar.missing_9900.vcf" NA
