sample_id,ena_analysis
AY0045-C,ERZ1695835
AY0046-C,ERZ1695836
AY0047-C,ERZ1695837
AY0048-C,ERZ1695838
AY0049-C,ERZ1695839
AY0050-C,ERZ1695840
AY0052-C,ERZ1695841
AY0053-C,ERZ1695842
AY0054-C,ERZ1695843
AY0055-C,ERZ1695844
AY0056-C,ERZ1695845
AY0057-C,ERZ1695846
AY0058-C,ERZ1695847
AY0059-C,ERZ1695848
AY0060-C,ERZ1695849
AY0061-C,ERZ1695850
AY0062-C,ERZ1695851
AY0063-C,ERZ1695852
AY0064-C,ERZ1695853
AY0065-C,ERZ1695854
AY0066-C,ERZ1695855
AY0067-C,ERZ1695856
AY0068-C,ERZ1695857
AY0069-C,ERZ1695858
AY0070-C,ERZ1695859
AY0071-C,ERZ1695860
AY0072-C,ERZ1695861
AY0073-C,ERZ1695862
AY0074-C,ERZ1695863
AY0075-C,ERZ1695864
AY0076-C,ERZ1695865
AY0077-C,ERZ1695866
AY0078-C,ERZ1695867
AY0079-C,ERZ1695868
AY0080-C,ERZ1695869
AY0082-C,ERZ1695870
AY0083-C,ERZ1695871
AY0084-C,ERZ1695872
AY0085-C,ERZ1695873
AY0086-C,ERZ1695874
AY0087-C,ERZ1695875
AY0088-C,ERZ1695876
AY0089-C,ERZ1695877
AY0090-C,ERZ1695878
AY0091-C,ERZ1695879
AY0092-C,ERZ1695880
AN0007-C,ERZ1695881
AN0008-C,ERZ1695882
AN0009-C,ERZ1695883
AN0010-C,ERZ1695884
AN0011-C,ERZ1695885
AN0012-C,ERZ1695886
AN0013-C,ERZ1695887
AN0014-C,ERZ1695888
AN0015-C,ERZ1695889
AN0016-C,ERZ1695890
AN0017-Cx,ERZ1695891
AN0018-C,ERZ1695892
AN0019-C,ERZ1695893
AN0020-C,ERZ1695894
AN0021-C,ERZ1695895
AN0022-C,ERZ1695896
AN0023-C,ERZ1695897
AN0024-C,ERZ1695898
AN0025-Cx,ERZ1695899
AN0026-Cx,ERZ1695900
AN0027-C,ERZ1695901
AN0028-C,ERZ1695902
AN0029-C,ERZ1695903
AN0030-C,ERZ1695904
AN0031-C,ERZ1695905
AN0032-C,ERZ1695906
AN0033-C,ERZ1695907
AN0034-C,ERZ1695908
AN0035-C,ERZ1695909
AN0036-C,ERZ1695910
AN0037-C,ERZ1695911
AN0038-C,ERZ1695912
AN0039-C,ERZ1695913
AN0040-C,ERZ1695914
AN0041-C,ERZ1695915
AN0042-C,ERZ1695916
AN0043-C,ERZ1695917
AN0044-C,ERZ1695918
AN0045-C,ERZ1695919
AN0046-C,ERZ1695920
AN0047-C,ERZ1695921
AN0048-C,ERZ1695922
AN0049-C,ERZ1695923
AN0050-C,ERZ1695924
AN0051-C,ERZ1695925
AN0053-C,ERZ1695926
AN0054-C,ERZ1695927
AN0055-C,ERZ1695928
AN0056-C,ERZ1695929
AN0057-C,ERZ1695930
AN0058-C,ERZ1695931
AN0059-C,ERZ1695932
AN0060-C,ERZ1695933
AN0061-Cx,ERZ1695934
AN0062-C,ERZ1695935
AN0063-Cx,ERZ1695936
AN0064-C,ERZ1695937
AN0065-Cx,ERZ1695938
AN0066-C,ERZ1695939
AN0067-Cx,ERZ1695940
AN0068-Cx,ERZ1695941
AN0069-C,ERZ1695942
AN0070-C,ERZ1695943
AN0071-C,ERZ1695944
AN0072-Cx,ERZ1695945
AN0073-C,ERZ1695946
AN0074-C,ERZ1695947
AN0075-Cx,ERZ1695948
AN0076-C,ERZ1695949
AN0077-C,ERZ1695950
AN0078-C,ERZ1695951
AN0079-C,ERZ1695952
AN0080-C,ERZ1695953
AN0081-C,ERZ1695954
AN0082-C,ERZ1695955
AN0083-C,ERZ1695956
AN0084-C,ERZ1695957
AN0085-C,ERZ1695958
AN0086-C,ERZ1695959
AN0087-C,ERZ1695960
AN0088-C,ERZ1695961
AN0089-C,ERZ1695962
AN0090-C,ERZ1695963
AN0091-C,ERZ1695964
AN0092-C,ERZ1695965
AN0093-C,ERZ1695966
AN0094-C,ERZ1695967
AN0095-C,ERZ1695968
AN0096-C,ERZ1695969
AN0097-C,ERZ1695970
AN0098-C,ERZ1695971
AN0099-C,ERZ1695972
